Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height,notes,
159,8191,1/27/2019,10:00:50,21.7,1,172,1420.3,1.6,107.1,4.1,23.3,3.5,7.3,6, uR/h,0,0,0,1,39.75,sand (bed C10?)
160,8192,1/27/2019,10:00:50,21.5,1,275.5,2275.2,3.3,208.5,4.6,35.9,11.8,21.9,11.4, uR/h,0,0,0,1,40,"shale, wet with barnacles"
161,8193,1/27/2019,10:00:50,21.6,1,258.3,2133.8,3.3,190.8,2,22.3,10.9,19.8,9.5, uR/h,0,0,0,1,40.25,shale
162,8194,1/27/2019,10:00:50,21.5,1,145.4,1200.6,1.7,105,1.9,18.1,7.5,13.5,6, uR/h,0,0,0,1,40.5,sand (bed C11 base)
163,8195,1/27/2019,10:00:50,21.3,1,141.1,1165.2,1.4,95.6,3.3,22.3,5.5,10.4,5.8, uR/h,0,0,0,1,40.75,sand (bed C11 top)
164,8196,1/27/2019,10:00:50,21.3,1,183.5,1515.3,1.7,105,1.1,18.1,10.7,18.8,6.4, uR/h,0,0,0,1,41,sand (bed C12)
165,8197,1/27/2019,10:00:50,20,1,149.9,1238.3,1.7,105,1.9,17,6.9,12.5,5.8, uR/h,0,0,0,1,41.25,sand/shale
166,8198,1/27/2019,10:00:50,20.4,1,116.9,965.5,1.5,84.1,0.2,6.6,4.6,8.3,3.8, uR/h,0,0,0,1,41.5,sand 49cm
167,8199,1/27/2019,10:00:50,20.5,1,142.8,1179.7,1.4,89.3,2.8,16,2.5,5.2,4.6, uR/h,0,0,0,1,41.75,sand top
168,8200,1/27/2019,10:00:50,20.9,1,248.2,2049.9,3.2,191.8,3.6,26.5,8.3,15.6,9.5, uR/h,0,0,0,1,42,shale above sand (bed C13)
